date,app_name,apk_name,big_class,label,market
2018-09-20,宜人贷借款,com.yirendai,金融理财,,腾讯应用宝
2018-09-20,菠萝理财,com.pusupanshi.boluolicai,金融理财,,腾讯应用宝
2018-09-20,大智慧,com.android.dazhihui,金融理财,,腾讯应用宝
2018-09-20,同花顺手机炒股股票软件,com.hexin.plat.android,金融理财,,腾讯应用宝
2018-09-20,中国建设银行,com.chinamworld.main,金融理财,,腾讯应用宝
2018-09-20,随手记理财记账,com.mymoney,金融理财,,腾讯应用宝
2018-09-20,平安金管家,com.pingan.lifeinsurance,金融理财,,腾讯应用宝
2018-09-20,第一理财,com.novem.firstfinancial,金融理财,,腾讯应用宝
2018-09-20,翼支付,com.chinatelecom.bestpayclient,金融理财,,腾讯应用宝
2018-09-20,平安普惠,com.paem,金融理财,,腾讯应用宝
2018-09-20,卡牛信用管家,com.mymoney.sms,金融理财,,腾讯应用宝
2018-09-20,借贷宝,com.rrh.jdb,金融理财,,腾讯应用宝
2018-09-20,51信用卡管家,com.zhangdan.app,金融理财,,腾讯应用宝
2018-09-20,省呗,com.samoyed.credit,金融理财,,腾讯应用宝
2018-09-20,布丁小贷,com.zealfi.bdxiaodai,金融理财,,腾讯应用宝
2018-09-20,拍拍贷借款,com.ppdai.loan,金融理财,,腾讯应用宝
2018-09-20,招商银行,cmb.pb,金融理财,,腾讯应用宝
2018-09-20,现金白卡,com.kdlc.mcc,金融理财,,腾讯应用宝
2018-09-20,腾讯自选股（腾讯官方炒股软件）,com.tencent.portfolio,金融理财,,腾讯应用宝
2018-09-20,中国工商银行,com.icbc,金融理财,,腾讯应用宝
2018-09-20,小花钱包,com.xhqb.app,金融理财,,腾讯应用宝
2018-09-20,光速贷款,com.haodai.flashloanpre,金融理财,,腾讯应用宝
2018-09-20,向钱贷,com.mintq.xqd,金融理财,,腾讯应用宝
2018-09-20,云闪付,com.unionpay,金融理财,,腾讯应用宝
2018-09-20,PPmoney理财,com.pmp.ppmoney,金融理财,,腾讯应用宝
2018-09-20,闪贷,com.haodai.flashloan,金融理财,,腾讯应用宝
2018-09-20,极速现金侠,com.innext.xjx,金融理财,,腾讯应用宝
2018-09-20,用钱宝,com.yongqianbao.credit,金融理财,,腾讯应用宝
2018-09-20,信用钱包,com.financial.quantgroup,金融理财,,腾讯应用宝
2018-09-20,农行掌上银行,com.android.bankabc,金融理财,,腾讯应用宝
2018-09-20,借花花贷款,com.jhh,金融理财,,腾讯应用宝
2018-09-20,闪银,com.syqy.wecash,金融理财,,腾讯应用宝
2018-09-20,口袋贵金属,org.sojex.finance,金融理财,,腾讯应用宝
2018-09-20,中信银行动卡空间,com.citiccard.mobilebank,金融理财,,腾讯应用宝
2018-09-20,移动手机贷,com.droid.credit,金融理财,,腾讯应用宝
2018-09-20,东方财富,com.eastmoney.android.berlin,金融理财,,腾讯应用宝
2018-09-20,分期乐,com.fenqile.fenqile,金融理财,,腾讯应用宝
2018-09-20,人人贷理财,com.renrendai.finance,金融理财,,腾讯应用宝
2018-09-20,莫愁花,com.yuecai.mochouhua,金融理财,,腾讯应用宝
2018-09-20,信用贷,com.duorong.xinyongdai,金融理财,,腾讯应用宝
2018-09-20,人人贷理财,com.renrendai.finance,金融理财,,腾讯应用宝
2018-09-20,莫愁花,com.yuecai.mochouhua,金融理财,,腾讯应用宝
2018-09-20,信用贷,com.duorong.xinyongdai,金融理财,,腾讯应用宝
2018-09-20,储蓄罐（腾讯投资的理财神器）,howbuy.android.piggy,金融理财,,腾讯应用宝
